indic_se,l_serv,nace_r2,sex,sizeclas,unit,time\geo	BE 	BG 	CZ 	DK 	DE 	EE 	IE 	ES 	FR 	IT 	CY 	LV 	LT 	LU 	HU 	MT 	NL 	AT 	PL 	PT 	RO 	SI 	SK 	FI 	SE 	UK 	IS 	NO 	CH 	AL 	RS 
ERN,Y15-19,B-E,F,GE10,NAC,2018	22.5 	6.2 	168.76 	252.42 	21.25 	6.04 	24.83 	12.4 	18.32 	13.93 	8.74 	5.42 	5.11 	21.53 	1705.64 	9.6 	17.36 	18.05 	25.13 	6.26 	20.48 	9.13 	6.19 	21.08 	226.79 	17.28 	3427.98 	333.11 	36.55 	248.75 	465.33 
ERN,Y15-19,B-E,F,GE10,PPS,2018	19.61 	6.09 	8.96 	23.93 	19.89 	7.28 	18.71 	12.95 	16.13 	13.46 	9.72 	7.08 	7.51 	16.63 	8.3 	11.27 	15.03 	16.12 	9.9 	7.02 	8.13 	10.48 	7.77 	16.73 	17.89 	16.26 	16.51 	22.98 	20.29 	3.6 	7.07 
ERN,Y15-19,B-E,F,TOTAL,EUR,2018	: 	3.12 	6.49 	: 	20.68 	5.96 	24.46 	12.05 	: 	: 	8.84 	5.36 	5.05 	: 	5.33 	: 	17.26 	: 	5.87 	: 	: 	9.07 	6.12 	: 	: 	19.24 	: 	34.45 	31.45 	: 	: 
ERN,Y15-19,B-E,F,TOTAL,NAC,2018	: 	6.09 	166.57 	: 	20.68 	5.96 	24.46 	12.05 	: 	: 	8.84 	5.36 	5.05 	: 	1700.43 	: 	17.26 	: 	25.01 	: 	: 	9.07 	6.12 	: 	: 	17.03 	: 	330.59 	36.33 	: 	: 
ERN,Y15-19,B-E,F,TOTAL,PPS,2018	: 	5.99 	8.85 	: 	19.36 	7.19 	18.43 	12.59 	: 	: 	9.83 	7.01 	7.43 	: 	8.27 	: 	14.94 	: 	9.86 	: 	: 	10.4 	7.68 	: 	: 	16.02 	: 	22.81 	20.16 	: 	: 
ERN,Y15-19,B-E,M,GE10,EUR,2018	25 	4.11 	8.86 	38.28 	27.72 	9.18 	30.92 	14.51 	20.64 	16.91 	12.17 	7.11 	6.58 	24.87 	6.79 	13.16 	22.72 	22.91 	7.13 	8.11 	5.85 	11.29 	8.58 	23.49 	23.03 	22.52 	32.71 	39.2 	39.69 	2.81 	4.06 
ERN,Y15-19,B-E,M,GE10,NAC,2018	25 	8.03 	227.21 	285.28 	27.72 	9.18 	30.92 	14.51 	20.64 	16.91 	12.17 	7.11 	6.58 	24.87 	2164.14 	13.16 	22.72 	22.91 	30.38 	8.11 	27.24 	11.29 	8.58 	23.49 	236.23 	19.92 	4183.66 	376.27 	45.84 	358.77 	479.78 
ERN,Y15-19,B-E,M,GE10,PPS,2018	21.78 	7.9 	12.07 	27.04 	25.95 	11.07 	23.3 	15.16 	18.17 	16.34 	13.54 	9.29 	9.69 	19.2 	10.53 	15.46 	19.67 	20.46 	11.97 	9.11 	10.82 	12.95 	10.77 	18.65 	18.63 	18.75 	20.15 	25.96 	25.44 	5.2 	7.29 
ERN,Y15-19,B-E,M,TOTAL,EUR,2018	: 	4 	8.63 	: 	27.42 	8.82 	30.42 	14.26 	: 	: 	10.29 	7 	6.3 	: 	6.65 	: 	22.8 	: 	7.11 	: 	: 	11.06 	8.43 	: 	: 	22.24 	: 	38.94 	39.47 	: 	: 
ERN,Y15-19,B-E,M,TOTAL,NAC,2018	: 	7.83 	221.31 	: 	27.42 	8.82 	30.42 	14.26 	: 	: 	10.29 	7 	6.3 	: 	2121.64 	: 	22.8 	: 	30.31 	: 	: 	11.06 	8.43 	: 	: 	19.67 	: 	373.7 	45.59 	: 	: 
