indic_se,l_serv,nace_r2,sex,sizeclas,unit,time\geo	BE 	BG 	CZ 	DK 	DE 	EE 	IE 	ES 	FR 	IT 	CY 	LV 	LT 	LU 	HU 	MT 	NL 	AT 	PL 	PT 	RO 	SI 	SK 	FI 	SE 	UK 	IS 	NO 	CH 	AL 	RS 
OPAY,Y6-9,P-S,F,GE10,PPS,2018	20.97 	7.58 	13.26 	27.18 	20.68 	11.88 	39.49 	12.94 	17.95 	15.81 	19 	10.04 	24.93 	40.76 	11.19 	14.8 	19.83 	19.66 	15.16 	17.79 	20.52 	17.87 	10.8 	27.32 	28.74 	16.56 	22.75 	28.2 	25.93 	4.92 	8.55 
OPAY,Y6-9,P-S,F,TOTAL,EUR,2018	: 	3.95 	9.74 	: 	21.57 	9.84 	52.42 	12.32 	: 	: 	15.86 	7.68 	14.91 	: 	7.21 	: 	22.8 	: 	9.02 	: 	: 	15.58 	8.6 	: 	: 	19.66 	: 	42.56 	40.17 	: 	: 
OPAY,Y6-9,P-S,F,TOTAL,NAC,2018	: 	7.69 	249.83 	: 	21.57 	9.84 	52.42 	12.32 	: 	: 	15.86 	7.68 	14.91 	: 	2299.64 	: 	22.8 	: 	38.44 	: 	: 	15.58 	8.6 	: 	: 	17.39 	: 	408.5 	46.38 	: 	: 
OPAY,Y6-9,P-S,F,TOTAL,PPS,2018	: 	7.58 	13.27 	: 	20.19 	11.88 	39.49 	12.94 	: 	: 	17.65 	10.04 	21.87 	: 	11.19 	: 	19.74 	: 	15.15 	: 	: 	17.87 	10.8 	: 	: 	16.37 	: 	28.18 	25.76 	: 	: 
OPAY,Y6-9,P-S,M,GE10,EUR,2018	24.54 	5.57 	11.17 	45.7 	27.77 	14.45 	225.65 	17.19 	22.68 	17.71 	25.15 	10.92 	11.75 	40.48 	6.97 	15.21 	24.26 	29.67 	9.9 	22.53 	11.19 	17.17 	9.95 	58.02 	38.55 	47.91 	39.09 	55.23 	47.76 	2.78 	4.32 
OPAY,Y6-9,P-S,M,GE10,NAC,2018	24.54 	10.87 	286.55 	340.6 	27.77 	14.45 	225.65 	17.19 	22.68 	17.71 	25.15 	10.92 	11.75 	40.48 	2223.85 	15.21 	24.26 	29.67 	42.17 	22.53 	52.08 	17.17 	9.95 	58.02 	395.37 	42.39 	4998.88 	530.06 	55.18 	354.16 	511.26 
OPAY,Y6-9,P-S,M,GE10,PPS,2018	21.41 	10.69 	15.22 	32.28 	26 	17.4 	170.04 	17.96 	19.96 	17.11 	27.95 	14.27 	17.25 	31.25 	10.82 	17.87 	21 	26.49 	16.62 	25.29 	20.68 	19.69 	12.49 	46.07 	31.18 	39.9 	24.07 	36.56 	30.63 	5.13 	7.76 
OPAY,Y6-9,P-S,M,TOTAL,EUR,2018	: 	5.57 	11.17 	: 	27.58 	14.45 	225.65 	15.51 	: 	: 	25.15 	10.92 	11.75 	: 	6.97 	: 	24.75 	: 	9.89 	: 	: 	17.17 	9.96 	: 	: 	46.86 	: 	55.13 	47.86 	: 	: 
OPAY,Y6-9,P-S,M,TOTAL,NAC,2018	: 	10.87 	286.46 	: 	27.58 	14.45 	225.65 	15.51 	: 	: 	25.15 	10.92 	11.75 	: 	2223.19 	: 	24.75 	: 	42.14 	: 	: 	17.17 	9.96 	: 	: 	41.46 	: 	529.1 	55.29 	: 	: 
OPAY,Y6-9,P-S,M,TOTAL,PPS,2018	: 	10.69 	15.21 	: 	25.82 	17.4 	170.04 	16.22 	: 	: 	27.95 	14.27 	17.25 	: 	10.81 	: 	21.43 	: 	16.61 	: 	: 	19.69 	12.51 	: 	: 	39.02 	: 	36.5 	30.69 	: 	: 
OPAY,Y6-9,P-S,T,GE10,EUR,2018	24.38 	4.34 	10.18 	40.13 	23.92 	10.42 	54.73 	13.75 	21.04 	16.85 	21.46 	8.62 	15.26 	47.81 	7.12 	13.45 	23.44 	24.8 	9.22 	17.83 	11.12 	16.09 	9.06 	38.47 	36.24 	28.32 	37.48 	45.89 	42.04 	2.7 	4.59 
OPAY,Y6-9,P-S,T,GE10,NAC,2018	24.38 	8.47 	261.08 	299.11 	23.92 	10.42 	54.73 	13.75 	21.04 	16.85 	21.46 	8.62 	15.26 	47.81 	2270.77 	13.45 	23.44 	24.8 	39.29 	17.83 	51.77 	16.09 	9.06 	38.47 	371.74 	25.06 	4792.97 	440.38 	48.55 	344.75 	543.29 
OPAY,Y6-9,P-S,T,GE10,PPS,2018	21.25 	8.34 	13.87 	28.35 	22.39 	12.57 	41.23 	14.42 	18.52 	16.28 	23.86 	11.27 	22.44 	36.92 	11.05 	15.79 	20.29 	22.14 	15.48 	20.02 	20.56 	18.46 	11.38 	30.54 	29.32 	23.58 	23.08 	30.38 	26.96 	5 	8.26 
OPAY,Y6-9,P-S,T,TOTAL,EUR,2018	: 	4.34 	10.18 	: 	23.45 	10.4 	54.73 	13.44 	: 	: 	20.62 	8.61 	14.15 	: 	7.12 	: 	23.57 	: 	9.21 	: 	: 	16.09 	9.07 	: 	: 	27.83 	: 	45.83 	41.78 	: 	: 
OPAY,Y6-9,P-S,T,TOTAL,NAC,2018	: 	8.47 	261.04 	: 	23.45 	10.4 	54.73 	13.44 	: 	: 	20.62 	8.61 	14.15 	: 	2269.94 	: 	23.57 	: 	39.26 	: 	: 	16.09 	9.07 	: 	: 	24.62 	: 	439.9 	48.25 	: 	: 
OPAY,Y6-9,P-S,T,TOTAL,PPS,2018	: 	8.34 	13.86 	: 	21.96 	12.55 	41.23 	14.09 	: 	: 	22.93 	11.25 	20.76 	: 	11.04 	: 	20.4 	: 	15.47 	: 	: 	18.46 	11.38 	: 	: 	23.17 	: 	30.35 	26.79 	: 	: 
OPAY,Y6-9,Q,F,GE10,EUR,2018	23.82 	3.86 	10.35 	37.88 	22.69 	9.82 	52.42 	17.06 	19.46 	16.96 	24.07 	7.97 	16.94 	57.22 	6.78 	: c	23.7 	21.99 	10.89 	16.51 	8.65 	16.42 	9.41 	29.78 	36.31 	22.76 	36.13 	42.42 	40.03 	2.76 	4.21 
OPAY,Y6-9,Q,F,GE10,NAC,2018	23.82 	7.53 	265.52 	282.36 	22.69 	9.82 	52.42 	17.06 	19.46 	16.96 	24.07 	7.97 	16.94 	57.22 	2161.8 	: c	23.7 	21.99 	46.44 	16.51 	40.27 	16.42 	9.41 	29.78 	372.46 	20.14 	4621 	407.07 	46.24 	351.86 	498.47 
OPAY,Y6-9,Q,F,GE10,PPS,2018	20.72 	7.41 	14.1 	26.76 	21.24 	11.85 	39.49 	17.84 	17.13 	16.38 	26.79 	10.42 	24.93 	44.2 	10.52 	: c	20.52 	19.63 	18.3 	18.54 	15.99 	18.83 	11.82 	23.63 	29.37 	18.95 	22.26 	28.08 	25.68 	5.11 	7.57 
OPAY,Y6-9,Q,F,TOTAL,EUR,2018	: 	3.86 	10.34 	: 	22.34 	9.82 	52.42 	17.06 	: 	: 	21.02 	7.97 	14.91 	: 	6.78 	: 	23.51 	: 	10.87 	: 	: 	16.42 	9.41 	: 	: 	22.48 	: 	42.39 	39.8 	: 	: 
OPAY,Y6-9,Q,F,TOTAL,NAC,2018	: 	7.53 	265.26 	: 	22.34 	9.82 	52.42 	17.06 	: 	: 	21.02 	7.97 	14.91 	: 	2160.93 	: 	23.51 	: 	46.35 	: 	: 	16.42 	9.41 	: 	: 	19.88 	: 	406.83 	45.96 	: 	: 
OPAY,Y6-9,Q,F,TOTAL,PPS,2018	: 	7.41 	14.09 	: 	20.92 	11.85 	39.49 	17.84 	: 	: 	23.39 	10.42 	21.87 	: 	10.52 	: 	20.36 	: 	18.26 	: 	: 	18.83 	11.82 	: 	: 	18.71 	: 	28.07 	25.53 	: 	: 
OPAY,Y6-9,Q,M,GE10,EUR,2018	25.34 	5.61 	12.83 	45.67 	30.44 	15.63 	225.65 	23.62 	22.01 	19.34 	29.18 	10.28 	: 	38.49 	6.67 	: c	27.87 	29.87 	11.82 	24.59 	9.42 	18.74 	11.63 	53.1 	40.72 	77.92 	38.05 	57.45 	47.77 	2.67 	4.29 
OPAY,Y6-9,Q,M,GE10,NAC,2018	25.34 	10.96 	329.21 	340.37 	30.44 	15.63 	225.65 	23.62 	22.01 	19.34 	29.18 	10.28 	: 	38.49 	2126.85 	: c	27.87 	29.87 	50.35 	24.59 	43.82 	18.74 	11.63 	53.1 	417.57 	68.94 	4866.45 	551.38 	55.18 	341.35 	506.68 
OPAY,Y6-9,Q,M,GE10,PPS,2018	22.09 	10.78 	17.48 	32.26 	28.51 	18.83 	170.04 	24.68 	19.38 	18.69 	32.43 	13.43 	: 	29.73 	10.35 	: c	24.12 	26.67 	19.84 	27.6 	17.4 	21.49 	14.59 	42.15 	32.92 	64.88 	23.44 	38.04 	30.62 	4.95 	7.7 
OPAY,Y6-9,Q,M,TOTAL,EUR,2018	: 	5.61 	12.83 	: 	30.27 	15.63 	225.65 	23.62 	: 	: 	29.18 	10.28 	: 	: 	6.67 	: 	28.55 	: 	11.82 	: 	: 	18.74 	11.63 	: 	: 	77.92 	: 	57.43 	47.77 	: 	: 
OPAY,Y6-9,Q,M,TOTAL,NAC,2018	: 	10.96 	329.19 	: 	30.27 	15.63 	225.65 	23.62 	: 	: 	29.18 	10.28 	: 	: 	2126.85 	: 	28.55 	: 	50.35 	: 	: 	18.74 	11.63 	: 	: 	68.94 	: 	551.13 	55.18 	: 	: 
OPAY,Y6-9,Q,M,TOTAL,PPS,2018	: 	10.78 	17.48 	: 	28.34 	18.83 	170.04 	24.68 	: 	: 	32.43 	13.43 	: 	: 	10.35 	: 	24.7 	: 	19.84 	: 	: 	21.49 	14.59 	: 	: 	64.88 	: 	38.02 	30.62 	: 	: 
OPAY,Y6-9,Q,T,GE10,EUR,2018	24.78 	4.29 	11.02 	39.32 	24.89 	10.59 	54.73 	17.79 	19.94 	17.71 	26.94 	8.63 	16.94 	49.18 	6.73 	12.86 	25 	24.31 	11.18 	18.83 	8.82 	17.13 	10.3 	32.47 	37.28 	37.35 	36.6 	45.94 	41.47 	2.73 	4.24 
OPAY,Y6-9,Q,T,GE10,NAC,2018	24.78 	8.38 	282.57 	293.08 	24.89 	10.59 	54.73 	17.79 	19.94 	17.71 	26.94 	8.63 	16.94 	49.18 	2146.8 	12.86 	25 	24.31 	47.66 	18.83 	41.07 	17.13 	10.3 	32.47 	382.43 	33.04 	4680.82 	440.93 	47.9 	347.65 	502.05 
OPAY,Y6-9,Q,T,GE10,PPS,2018	21.59 	8.25 	15.01 	27.78 	23.3 	12.78 	41.23 	18.6 	17.55 	17.11 	29.97 	11.27 	24.93 	37.98 	10.45 	15.11 	21.64 	21.7 	18.78 	21.15 	16.31 	19.65 	12.93 	25.77 	30.16 	31.1 	22.54 	30.42 	26.6 	5.05 	7.63 
OPAY,Y6-9,Q,T,TOTAL,EUR,2018	: 	4.29 	11 	: 	24.55 	10.56 	54.73 	17.79 	: 	: 	25.23 	8.63 	14.91 	: 	6.73 	: 	25.06 	: 	11.16 	: 	: 	17.13 	10.3 	: 	: 	36.75 	: 	45.91 	41.21 	: 	: 
OPAY,Y6-9,Q,T,TOTAL,NAC,2018	: 	8.38 	282.25 	: 	24.55 	10.56 	54.73 	17.79 	: 	: 	25.23 	8.63 	14.91 	: 	2146.31 	: 	25.06 	: 	47.59 	: 	: 	17.13 	10.3 	: 	: 	32.51 	: 	440.64 	47.58 	: 	: 
OPAY,Y6-9,Q,T,TOTAL,PPS,2018	: 	8.25 	14.99 	: 	22.98 	12.74 	41.23 	18.6 	: 	: 	28.06 	11.27 	21.87 	: 	10.45 	: 	21.69 	: 	18.75 	: 	: 	19.65 	12.93 	: 	: 	30.6 	: 	30.4 	26.42 	: 	: 
OPAY,Y6-9,R,F,GE10,EUR,2018	16.67 	6.34 	6.36 	30.46 	15.91 	4.52 	: 	14.67 	23.8 	13.49 	: c	6 	: 	: c	5.57 	: c	18.08 	22.7 	5.68 	7.24 	4.85 	14.69 	5.26 	21.7 	21.26 	11.5 	: 	34.87 	39.05 	: 	3.2 
OPAY,Y6-9,R,F,GE10,NAC,2018	16.67 	12.39 	163.35 	227 	15.91 	4.52 	: 	14.67 	23.8 	13.49 	: c	6 	: 	: c	1770.87 	: c	18.08 	22.7 	24.16 	7.24 	22.77 	14.69 	5.26 	21.7 	218.28 	10.15 	: 	334.88 	45.09 	: 	377.59 
OPAY,Y6-9,R,F,GE10,PPS,2018	14.67 	12.16 	8.67 	21.52 	14.9 	5.46 	: 	15.32 	20.95 	13 	: c	7.9 	: 	: c	8.61 	: c	15.63 	20.27 	9.54 	8.13 	9 	16.85 	6.61 	17.24 	17.26 	9.58 	: 	23.1 	25.01 	: 	5.74 
OPAY,Y6-9,R,F,TOTAL,EUR,2018	: 	6.34 	6.53 	: 	14.62 	4.52 	: 	14.67 	: 	: 	: 	6 	: 	: 	5.57 	: 	18.08 	: 	5.68 	: 	: 	14.69 	5.26 	: 	: 	11.73 	: 	34.65 	38.86 	: 	: 
OPAY,Y6-9,R,F,TOTAL,NAC,2018	: 	12.39 	167.7 	: 	14.62 	4.52 	: 	14.67 	: 	: 	: 	6 	: 	: 	1769.11 	: 	18.08 	: 	24.16 	: 	: 	14.69 	5.26 	: 	: 	10.34 	: 	332.72 	44.88 	: 	: 
OPAY,Y6-9,R,F,TOTAL,PPS,2018	: 	12.16 	8.9 	: 	13.69 	5.46 	: 	15.32 	: 	: 	: 	7.9 	: 	: 	8.6 	: 	15.63 	: 	9.54 	: 	: 	16.85 	6.61 	: 	: 	9.75 	: 	22.95 	24.89 	: 	: 
OPAY,Y6-9,R,M,GE10,EUR,2018	20.71 	3.33 	7.8 	37.35 	17.79 	11.17 	: 	19.12 	19.08 	15.97 	: c	14.47 	: 	: c	5.93 	: c	16.33 	23.61 	7.61 	6.92 	4.89 	12.5 	5.75 	24.22 	18.61 	16.66 	: 	36.51 	43.21 	: 	2.53 
OPAY,Y6-9,R,M,GE10,NAC,2018	20.71 	6.55 	200.1 	278.31 	17.79 	11.17 	: 	19.12 	19.08 	15.97 	: c	14.47 	: 	: c	1892.71 	: c	16.33 	23.61 	32.3 	6.92 	23 	12.5 	5.75 	24.22 	190.93 	14.74 	: 	350.48 	49.96 	: 	299.03 
OPAY,Y6-9,R,M,GE10,PPS,2018	18.14 	6.45 	10.62 	26.38 	16.65 	13.46 	: 	19.96 	16.78 	15.43 	: c	18.92 	: 	: c	9.2 	: c	14.15 	21.09 	12.74 	7.74 	9.08 	14.32 	7.24 	19.24 	15.15 	13.92 	: 	24.17 	27.78 	: 	4.55 
OPAY,Y6-9,R,M,TOTAL,EUR,2018	: 	3.33 	7.81 	: 	17.63 	11.17 	: 	15.05 	: 	: 	: 	14.47 	: 	: 	5.91 	: 	16.33 	: 	7.5 	: 	: 	12.5 	5.75 	: 	: 	16.61 	: 	36.44 	45.42 	: 	: 
OPAY,Y6-9,R,M,TOTAL,NAC,2018	: 	6.55 	200.24 	: 	17.63 	11.17 	: 	15.05 	: 	: 	: 	14.47 	: 	: 	1886.1 	: 	16.33 	: 	31.85 	: 	: 	12.5 	5.75 	: 	: 	14.7 	: 	349.78 	52.51 	: 	: 
OPAY,Y6-9,R,M,TOTAL,PPS,2018	: 	6.45 	10.63 	: 	16.51 	13.46 	: 	15.73 	: 	: 	: 	18.92 	: 	: 	9.17 	: 	14.15 	: 	12.56 	: 	: 	14.32 	7.24 	: 	: 	13.87 	: 	24.12 	29.19 	: 	: 
OPAY,Y6-9,R,T,GE10,EUR,2018	20.12 	5.29 	7.3 	34.09 	16.75 	7.92 	: 	17.73 	20.8 	15.32 	: c	8.86 	: 	: c	5.76 	12.27 	17.12 	23.25 	6.75 	7.03 	4.86 	13.6 	5.51 	23.41 	20.17 	14.3 	: 	35.8 	40.97 	: 	2.81 
OPAY,Y6-9,R,T,GE10,NAC,2018	20.12 	10.35 	187.28 	254.01 	16.75 	7.92 	: 	17.73 	20.8 	15.32 	: c	8.86 	: 	: c	1834.78 	12.27 	17.12 	23.25 	28.69 	7.03 	22.84 	13.6 	5.51 	23.41 	207 	12.64 	: 	343.7 	47.35 	: 	331.62 
OPAY,Y6-9,R,T,GE10,PPS,2018	17.63 	10.15 	9.94 	24.08 	15.68 	9.55 	: 	18.5 	18.3 	14.79 	: c	11.62 	: 	: c	8.92 	14.35 	14.82 	20.76 	11.32 	7.88 	9.02 	15.59 	6.93 	18.6 	16.39 	11.93 	: 	23.7 	26.29 	: 	5.04 
OPAY,Y6-9,R,T,TOTAL,EUR,2018	: 	5.29 	7.35 	: 	15.77 	7.92 	: 	14.97 	: 	: 	: 	8.86 	: 	: 	5.75 	: 	17.12 	: 	6.71 	: 	: 	13.6 	5.51 	: 	: 	14.35 	: 	35.66 	41.79 	: 	: 
OPAY,Y6-9,R,T,TOTAL,NAC,2018	: 	10.35 	188.72 	: 	15.77 	7.92 	: 	14.97 	: 	: 	: 	8.86 	: 	: 	1830.88 	: 	17.12 	: 	28.5 	: 	: 	13.6 	5.51 	: 	: 	12.69 	: 	342.34 	48.28 	: 	: 
OPAY,Y6-9,R,T,TOTAL,PPS,2018	: 	10.15 	10.02 	: 	14.77 	9.55 	: 	15.65 	: 	: 	: 	11.62 	: 	: 	8.9 	: 	14.82 	: 	11.25 	: 	: 	15.59 	6.93 	: 	: 	11.97 	: 	23.61 	26.81 	: 	: 
OPAY,Y6-9,S,F,GE10,EUR,2018	36.88 	: 	6.69 	43.36 	16.99 	7.69 	: c	8.19 	19.65 	11.1 	: c	6.54 	: 	16.56 	6.8 	: c	19.21 	23.04 	6.97 	7.41 	8.15 	: c	4.33 	24.93 	20.31 	12.33 	: 	43.03 	39.37 	1.17 	7 
OPAY,Y6-9,S,F,GE10,NAC,2018	36.88 	: 	171.24 	323.37 	16.99 	7.69 	: c	8.19 	19.65 	11.1 	: c	6.54 	: 	16.56 	2167.02 	: c	19.21 	23.04 	29.7 	7.41 	37.84 	: c	4.33 	24.93 	208.41 	10.87 	: 	412.94 	45.44 	150 	825 
OPAY,Y6-9,S,F,GE10,PPS,2018	32.13 	: 	9.1 	30.68 	15.9 	9.26 	: c	8.51 	17.3 	10.72 	: c	8.53 	: 	12.78 	10.52 	: c	16.61 	20.57 	11.71 	8.3 	15.03 	: c	5.46 	19.81 	16.38 	10.21 	: 	28.5 	25.23 	2.17 	12.5 
OPAY,Y6-9,S,F,TOTAL,EUR,2018	: 	: 	6.71 	: 	16.15 	7.69 	: 	8.19 	: 	: 	4.29 	7.44 	: 	: 	6.8 	: 	19.21 	: 	6.97 	: 	: 	11.21 	4.33 	: 	: 	12.09 	: 	42.66 	40.01 	: 	: 
OPAY,Y6-9,S,F,TOTAL,NAC,2018	: 	: 	171.61 	: 	16.15 	7.69 	: 	8.19 	: 	: 	4.29 	7.44 	: 	: 	2167.02 	: 	19.21 	: 	29.7 	: 	: 	11.21 	4.33 	: 	: 	10.67 	: 	409.4 	46.18 	: 	: 
OPAY,Y6-9,S,F,TOTAL,PPS,2018	: 	: 	9.12 	: 	15.12 	9.26 	: 	8.51 	: 	: 	4.77 	9.71 	: 	: 	10.52 	: 	16.61 	: 	11.71 	: 	: 	12.85 	5.46 	: 	: 	10.03 	: 	28.25 	25.64 	: 	: 
OPAY,Y6-9,S,M,GE10,EUR,2018	: 	: 	8.21 	44.17 	19.23 	7.13 	: c	13.17 	15.6 	11.86 	: c	8.11 	: 	24.2 	8.77 	: c	16.89 	28.48 	11.06 	8.66 	8.58 	: c	7.09 	75.65 	23.02 	15.91 	: 	37.48 	45.57 	: 	3.79 
OPAY,Y6-9,S,M,GE10,NAC,2018	: 	: 	210.13 	329.22 	19.23 	7.13 	: c	13.17 	15.6 	11.86 	: c	8.11 	: 	24.2 	2781.41 	: c	16.89 	28.48 	47.09 	8.66 	39.91 	: c	7.09 	75.65 	236.14 	14.07 	: 	359.61 	52.65 	: 	447.58 
OPAY,Y6-9,S,M,GE10,PPS,2018	: 	: 	11.17 	31.21 	17.99 	8.63 	: c	13.78 	13.73 	11.43 	: c	10.58 	: 	18.7 	13.44 	: c	14.58 	25.46 	18.55 	9.74 	15.85 	: c	8.91 	60.1 	18.61 	13.24 	: 	24.8 	29.24 	: 	6.83 
OPAY,Y6-9,S,M,TOTAL,EUR,2018	: 	: 	8.21 	: 	19.43 	7.13 	: 	13.17 	: 	: 	: 	8.11 	: 	: 	8.77 	: 	18.5 	: 	11.06 	: 	: 	12.53 	7.09 	: 	: 	16.65 	: 	37.33 	45.81 	: 	: 
OPAY,Y6-9,S,M,TOTAL,NAC,2018	: 	: 	210.13 	: 	19.43 	7.13 	: 	13.17 	: 	: 	: 	8.11 	: 	: 	2781.41 	: 	18.5 	: 	47.09 	: 	: 	12.53 	7.09 	: 	: 	14.72 	: 	358.21 	52.92 	: 	: 
OPAY,Y6-9,S,M,TOTAL,PPS,2018	: 	: 	11.17 	: 	18.18 	8.63 	: 	13.78 	: 	: 	: 	10.58 	: 	: 	13.44 	: 	15.98 	: 	18.55 	: 	: 	14.38 	8.91 	: 	: 	13.84 	: 	24.71 	29.38 	: 	: 
OPAY,Y6-9,S,T,GE10,EUR,2018	36.88 	: 	7.36 	43.76 	18.31 	7.58 	: 	11.49 	18.27 	11.54 	4.29 	7.56 	: 	22.22 	7.95 	: c	18.46 	25.93 	9.93 	7.7 	8.33 	12.13 	5.66 	45.55 	21.53 	14.03 	: 	40.23 	41.54 	1.17 	4.41 
OPAY,Y6-9,S,T,GE10,NAC,2018	36.88 	: 	188.36 	326.26 	18.31 	7.58 	: 	11.49 	18.27 	11.54 	4.29 	7.56 	: 	22.22 	2526.79 	: c	18.46 	25.93 	42.28 	7.7 	38.7 	12.13 	5.66 	45.55 	220.92 	12.39 	: 	386.07 	47.96 	150 	520.29 
OPAY,Y6-9,S,T,GE10,PPS,2018	32.13 	: 	10.01 	30.94 	17.13 	9.13 	: 	12 	16.08 	11.13 	4.77 	9.86 	: 	17.16 	12.23 	: c	15.96 	23.16 	16.66 	8.63 	15.37 	13.91 	7.12 	36.19 	17.39 	11.65 	: 	26.64 	26.63 	2.17 	7.92 
OPAY,Y6-9,S,T,TOTAL,EUR,2018	: 	: 	7.37 	: 	18.01 	7.58 	: 	11.49 	: 	: 	4.29 	7.6 	: 	: 	7.95 	: 	18.95 	: 	9.93 	: 	: 	12.13 	5.66 	: 	: 	14.5 	: 	40.01 	41.81 	: 	: 
OPAY,Y6-9,S,T,TOTAL,NAC,2018	: 	: 	188.55 	: 	18.01 	7.58 	: 	11.49 	: 	: 	4.29 	7.6 	: 	: 	2526.79 	: 	18.95 	: 	42.28 	: 	: 	12.13 	5.66 	: 	: 	12.81 	: 	384 	48.27 	: 	: 
OPAY,Y6-9,S,T,TOTAL,PPS,2018	: 	: 	10.02 	: 	16.85 	9.13 	: 	12 	: 	: 	4.77 	9.92 	: 	: 	12.23 	: 	16.39 	: 	16.66 	: 	: 	13.91 	7.12 	: 	: 	12.05 	: 	26.49 	26.8 	: 	: 
OPAY,Y_GE30,B,F,GE10,EUR,2018	: c	8.17 	7.75 	54.1 	19.46 	: c	: c	: c	: c	: c	: c	: c	: c	: 	: c	: 	: c	39.13 	8.28 	: c	4.66 	: c	4.75 	: c	: 	: 	: 	: 	: c	: 	: c
OPAY,Y_GE30,B,F,GE10,NAC,2018	: c	15.83 	198.29 	404.9 	19.46 	: c	: c	: c	: c	: c	: c	: c	: c	: 	: c	: 	: c	39.13 	35.28 	: c	21.75 	: c	4.75 	: c	: 	: 	: 	: 	: c	: 	: c
OPAY,Y_GE30,B,F,GE10,PPS,2018	: c	15.54 	10.54 	38.4 	18.21 	: c	: c	: c	: c	: c	: c	: c	: c	: 	: c	: 	: c	35 	13.9 	: c	8.63 	: c	5.98 	: c	: 	: 	: 	: 	: c	: 	: c
OPAY,Y_GE30,B,F,TOTAL,EUR,2018	: 	8.17 	7.75 	: 	19.46 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	8.28 	: 	: 	: 	4.75 	: 	: 	: 	: 	: 	: 	: 	: 
OPAY,Y_GE30,B,F,TOTAL,NAC,2018	: 	15.83 	198.29 	: 	19.46 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	35.28 	: 	: 	: 	4.75 	: 	: 	: 	: 	: 	: 	: 	: 
OPAY,Y_GE30,B,F,TOTAL,PPS,2018	: 	15.54 	10.54 	: 	18.21 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	13.9 	: 	: 	: 	5.98 	: 	: 	: 	: 	: 	: 	: 	: 
OPAY,Y_GE30,B,M,GE10,EUR,2018	: c	9.66 	10.2 	47.39 	32.4 	: c	: c	: c	: c	: c	: c	: c	: c	: 	20.42 	: c	: c	32.23 	9.93 	: c	8.45 	16.01 	7.26 	: c	: c	25.78 	: 	: 	: c	: 	: c
OPAY,Y_GE30,B,M,GE10,NAC,2018	: c	18.87 	261.65 	353.4 	32.4 	: c	: c	: c	: c	: c	: c	: c	: c	: 	6510 	: c	: c	32.23 	42.3 	: c	39.3 	16.01 	7.26 	: c	: c	22.82 	: 	: 	: c	: 	: c
OPAY,Y_GE30,B,M,GE10,PPS,2018	: c	18.58 	13.9 	33.52 	30.33 	: c	: c	: c	: c	: c	: c	: c	: c	: 	31.67 	: c	: c	28.77 	16.67 	: c	15.6 	18.37 	9.11 	: c	: c	21.47 	: 	: 	: c	: 	: c
OPAY,Y_GE30,B,M,TOTAL,EUR,2018	: 	9.66 	10.2 	: 	32.26 	: 	: 	: 	: 	: 	: 	: 	: 	: 	20.42 	: 	: 	: 	9.93 	: 	: 	16.01 	7.26 	: 	: 	25.78 	: 	: 	: 	: 	: 
OPAY,Y_GE30,B,M,TOTAL,NAC,2018	: 	18.87 	261.65 	: 	32.26 	: 	: 	: 	: 	: 	: 	: 	: 	: 	6510 	: 	: 	: 	42.3 	: 	: 	16.01 	7.26 	: 	: 	22.82 	: 	: 	: 	: 	: 
OPAY,Y_GE30,B,M,TOTAL,PPS,2018	: 	18.58 	13.9 	: 	30.2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	31.67 	: 	: 	: 	16.67 	: 	: 	18.37 	9.11 	: 	: 	21.47 	: 	: 	: 	: 	: 
OPAY,Y_GE30,B,T,GE10,EUR,2018	: c	9.43 	10.06 	47.94 	32.26 	: c	: c	29.46 	16.79 	18.85 	: c	: c	: c	: 	20.42 	: c	: 	32.28 	9.64 	14.98 	7.6 	: c	7.13 	33.7 	: c	25.78 	: 	: 	46.95 	: 	: c
OPAY,Y_GE30,B,T,GE10,NAC,2018	: c	18.41 	258.09 	357.63 	32.26 	: c	: c	29.46 	16.79 	18.85 	: c	: c	: c	: 	6510 	: c	: 	32.28 	41.04 	14.98 	35.35 	: c	7.13 	33.7 	: c	22.82 	: 	: 	54.14 	: 	: c
OPAY,Y_GE30,B,T,GE10,PPS,2018	: c	18.11 	13.71 	33.92 	30.2 	: c	: c	30.81 	14.79 	18.1 	: c	: c	: c	: 	31.67 	: c	: 	28.81 	16.18 	16.82 	14.03 	: c	8.94 	26.76 	: c	21.47 	: 	: 	30.04 	: 	: c
OPAY,Y_GE30,B,T,TOTAL,EUR,2018	: 	9.43 	10.06 	: 	32.12 	: 	: 	29.46 	: 	: 	: 	: 	: 	: 	20.42 	: 	: 	: 	9.64 	: 	: 	: 	7.13 	: 	: 	25.78 	: 	: 	46.39 	: 	: 
OPAY,Y_GE30,B,T,TOTAL,NAC,2018	: 	18.41 	258.09 	: 	32.12 	: 	: 	29.46 	: 	: 	: 	: 	: 	: 	6510 	: 	: 	: 	41.04 	: 	: 	: 	7.13 	: 	: 	22.82 	: 	: 	53.51 	: 	: 
